,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Jones El-Abdellaoui,ma MAR,MFFW,Celta Vigo,19,2006,7.6,0.26,2.24,0.53,23.5,2.25,0.53,0.12,0.50,0.00,0.00,Matches,29dd3b2e
2,Tay Abed,il ISR,MF,Levante,21,2004,1.0,0.00,2.00,1.00,50.0,1.94,0.97,0.00,0.00,0.00,0.00,Matches,88824111
3,Abdel Abqar,ma MAR,DF,Getafe,26,1999,16.0,0.00,0.44,0.06,14.3,0.44,0.06,0.00,0.00,0.00,0.00,Matches,2bc7f211
4,Akor Adams,ng NGA,FW,Sevilla,25,2000,22.9,0.44,2.66,1.31,49.2,2.66,1.31,0.16,0.33,0.13,0.13,Matches,2ccd39ed
5,Adrián,es ESP,GK,Real Betis,38,1987,1.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,f76e6b4e
6,David Affengruber,at AUT,DF,Elche,24,2001,32.8,0.03,0.43,0.12,28.6,0.43,0.12,0.07,0.25,0.00,0.00,Matches,4b00cd47
7,Julen Agirrezabala,es ESP,GK,Valencia,24,2000,18.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,a2c1a8d3
8,Lucien Agoume,fr FRA,MF,Sevilla,23,2002,29.8,0.03,0.50,0.07,13.3,0.50,0.07,0.07,0.50,0.00,0.00,Matches,8bc8829a
9,Diego Aguado,es ESP,DF,Real Madrid,18,2007,0.3,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,2b16b2f5
10,Marc Aguado,es ESP,MF,Elche,25,2000,27.8,0.04,0.11,0.07,66.7,0.11,0.07,0.33,0.50,0.00,0.00,Matches,5a705641
11,Pablo Agudín,es ESP,MF,Oviedo,17,2007,1.0,0.00,2.00,0.00,0.0,2.00,0.00,0.00,,0.00,0.00,Matches,291b4b43
